remote_ip2num,is_tcp,is_udp,pkt_len
3225463870,0,1,60
3225463870,0,1,48
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,24
3225463870,0,1,26
3225463870,0,1,58
3225463870,0,1,684
3225463870,0,1,74
3225463870,0,1,44
3225463870,0,1,44
3225463870,0,1,70
3225463870,0,1,44
3225463870,0,1,26
3225463870,0,1,76
3225463870,0,1,48
3225463870,0,1,26
3225463870,0,1,41
3225463870,0,1,26
3225463870,0,1,996
3225463870,0,1,996
3225463870,0,1,466
3225463870,0,1,42
3225463870,0,1,47
3225463870,0,1,55
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,47
3225463870,0,1,55
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,47
3225463870,0,1,55
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,18
3225463870,0,1,32
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,32
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,18
3225463870,0,1,47
3225463870,0,1,55
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,18
3225463870,0,1,16
3225463870,0,1,32
3225463870,0,1,18
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,32
3225463870,0,1,18
3225463870,0,1,32
3225463870,0,1,47
3225463870,0,1,55
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,32
3225463870,0,1,32
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,18
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,18
3225463870,0,1,47
3225463870,0,1,55
3225463870,0,1,32
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,69
3225463870,0,1,77
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
3225463870,0,1,18
3225463870,0,1,24
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,18
3225463870,0,1,69
3225463870,0,1,77
3225463870,0,1,16
3225463870,0,1,26
3225463870,0,1,24
