remote_ip2num,is_tcp,is_udp,pkt_len
2899905666,1,0,46
2899905064,1,0,46
2899905064,1,0,0
2899905666,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2899905064,1,0,0
2163118960,1,0,0
2899905666,1,0,0
2163118960,1,0,45
872984525,1,0,0
301562358,1,0,0
2163118960,1,0,31
2163118960,1,0,0
301562358,1,0,0
301562358,1,0,0
872984525,1,0,6
2163118960,1,0,0
2163118960,1,0,52
872984525,1,0,0
872984525,1,0,42
2163118960,1,0,0
2163118960,1,0,21
872984525,1,0,0
2163118960,1,0,61
872984525,1,0,0
872984525,1,0,6
2163118960,1,0,0
2163118960,1,0,1288
2163118960,1,0,400
872984525,1,0,0
2163118960,1,0,246
872984525,1,0,0
2163118960,1,0,58
872984525,1,0,0
2163118960,1,0,15
872984525,1,0,0
2163118960,1,0,1288
2163118960,1,0,664
872984525,1,0,0
2163118960,1,0,21
872984525,1,0,0
2163118960,1,0,122
872984525,1,0,10
872984525,1,0,0
2163118960,1,0,19
872984525,1,0,0
2163118960,1,0,28
872984525,1,0,0
2163118960,1,0,13
872984525,1,0,0
2163118960,1,0,16
872984525,1,0,0
2163118960,1,0,1288
2163118960,1,0,1288
2163118960,1,0,1288
872984525,1,0,0
872984525,1,0,0
2163118960,1,0,1200
872984525,1,0,0
2163118960,1,0,41
872984525,1,0,0
2163118960,1,0,17
872984525,1,0,0
2163118960,1,0,46
872984525,1,0,0
2163118960,1,0,220
872984525,1,0,0
2163118960,1,0,14
872984525,1,0,0
872984525,1,0,5
2163118960,1,0,188
872984525,1,0,10
2163118960,1,0,0
2163118960,1,0,752
872984525,1,0,0
2163118960,1,0,42
872984525,1,0,0
872984525,1,0,28
2163118960,1,0,57
872984525,1,0,0
2163118960,1,0,0
2163118960,1,0,583
872984525,1,0,0
2163118960,1,0,130
872984525,1,0,0
2163118960,1,0,88
872984525,1,0,0
2163118960,1,0,17
872984525,1,0,0
2163118960,1,0,560
872984525,1,0,0
2163118960,1,0,13
872984525,1,0,0
872984525,1,0,20
2163118960,1,0,294
872984525,1,0,0
2163118960,1,0,0
2163118960,1,0,403
872984525,1,0,0
2163118960,1,0,890
872984525,1,0,0
872984525,1,0,13
2163118960,1,0,54
872984525,1,0,0
2163118960,1,0,0
872984525,1,0,86
2163118960,1,0,182
872984525,1,0,0
2163118960,1,0,0
2163118960,1,0,270
872984525,1,0,0
2163118960,1,0,13
872984525,1,0,0
872984525,1,0,42
2163118960,1,0,0
2163118960,1,0,39
872984525,1,0,0
872984525,1,0,20
2163118960,1,0,0
2163118960,1,0,80
872984525,1,0,0
2163118960,1,0,90
872984525,1,0,0
872984525,1,0,21
2163118960,1,0,611
2163118960,1,0,0
872984525,1,0,0
2163118960,1,0,103
872984525,1,0,0
2899905674,1,0,46
2899905674,1,0,31
2899905674,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2899905674,1,0,0
872984525,1,0,21
2163118960,1,0,0
2163118960,1,0,44
872984525,1,0,0
872984525,1,0,21
2163118960,1,0,0
2163118960,1,0,25
872984525,1,0,0
872984525,1,0,21
2163118960,1,0,0
2163118960,1,0,23
872984525,1,0,0
2163118960,1,0,65
872984525,1,0,0
872984525,1,0,21
2163118960,1,0,0
2163118960,1,0,12
872984525,1,0,0
872984525,1,0,22
2163118960,1,0,0
2163118960,1,0,42
872984525,1,0,0
872984525,1,0,38
2163118960,1,0,108
872984525,1,0,0
2163118960,1,0,0
2163118960,1,0,436
872984525,1,0,0
872984525,1,0,10
2163118960,1,0,0
2163118960,1,0,15
872984525,1,0,0
2163118960,1,0,188
