remote_ip2num,is_tcp,is_udp,pkt_len
301500341,1,0,1368
301500341,1,0,101
301500341,1,0,1368
2163118960,1,0,0
301500341,1,0,824
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,6
301500341,1,0,0
301500341,1,0,0
2163118960,1,0,0
301500341,1,0,0
1114046269,1,0,46
2997017496,1,0,0
2899905322,1,0,0
2163118960,1,0,0
2899905322,1,0,0
2899905322,1,0,226
2163118960,1,0,0
2899905322,1,0,0
2163118960,1,0,1368
2163118960,1,0,1315
2163118960,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,241
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1314
2899905322,1,0,0
2899905322,1,0,93
2163118960,1,0,51
2163118960,1,0,69
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,53
2899905322,1,0,50
2899905322,1,0,42
2899905322,1,0,152
2899905322,1,0,363
2899905322,1,0,38
2163118960,1,0,0
2163118960,1,0,38
2163118960,1,0,0
2899905322,1,0,0
2997017403,1,0,0
2997017496,1,0,0
2997017496,1,0,221
2163118960,1,0,320
2163118960,1,0,615
2163118960,1,0,174
2163118960,1,0,46
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,46
2163118960,1,0,0
2163118960,1,0,0
2997017403,1,0,0
2163118960,1,0,1288
2163118960,1,0,1288
2163118960,1,0,1085
2997017496,1,0,0
2997017496,1,0,0
1209359133,1,0,0
2163118960,1,0,0
1209359133,1,0,0
1209359133,1,0,259
2163118960,1,0,0
2163118960,1,0,807
2163118960,1,0,0
1209359133,1,0,0
1209359133,1,0,0
1209359133,1,0,0
2163118960,1,0,0
295322393,1,0,1360
295322393,1,0,875
295322393,1,0,620
2997017496,1,0,126
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,734
2163118960,1,0,446
295322393,1,0,0
295322393,1,0,0
2163118960,1,0,51
2997017496,1,0,0
2997017496,1,0,324
2997017496,1,0,1368
2997017496,1,0,1368
2997017496,1,0,1368
295322393,1,0,1360
295322393,1,0,884
295322393,1,0,620
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2997017496,1,0,1368
2997017496,1,0,1368
2997017496,1,0,440
911639769,1,0,0
2163118960,1,0,0
911639769,1,0,0
911639769,1,0,209
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,647
911639769,1,0,0
911639769,1,0,0
2163118960,1,0,0
2163118960,1,0,0
911639769,1,0,0
2163118960,1,0,733
2163118960,1,0,446
295322393,1,0,0
295322393,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2899905322,1,0,93
2163118960,1,0,564
2163118960,1,0,31
2163118960,1,0,51
2163118960,1,0,69
2997017496,1,0,0
2997017496,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2997017496,1,0,31
2899905322,1,0,53
2899905322,1,0,50
2899905322,1,0,42
2899905322,1,0,156
2163118960,1,0,0
2163118960,1,0,38
2899905322,1,0,0
2899905322,1,0,254
2899905322,1,0,38
911639769,1,0,126
2997017496,1,0,0
2163118960,1,0,0
2163118960,1,0,51
911639769,1,0,0
2163118960,1,0,263
2163118960,1,0,188
2163118960,1,0,152
2163118960,1,0,46
2899905322,1,0,0
2899905322,1,0,0
911639769,1,0,460
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,46
2163118960,1,0,396
2163118960,1,0,34
911639769,1,0,0
911639769,1,0,0
2899905322,1,0,46
2899905322,1,0,31
2899905322,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2899905322,1,0,0
2899905322,1,0,0
520963841,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2899905322,1,0,0
2163118960,1,0,0
520963841,1,0,0
2899905322,1,0,225
520963841,1,0,204
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,480
2163118960,1,0,0
520963841,1,0,0
520963841,1,0,0
2163118960,1,0,1368
2163118960,1,0,1316
2899905322,1,0,0
1611051168,1,0,0
2163118960,1,0,0
2899905322,1,0,93
1611051168,1,0,0
1611051168,1,0,240
2163118960,1,0,51
2163118960,1,0,69
2899905322,1,0,0
2899905322,1,0,0
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1360
2899905322,1,0,53
2899905322,1,0,50
2899905322,1,0,42
2899905322,1,0,221
2899905322,1,0,1321
2899905322,1,0,38
2163118960,1,0,1368
2163118960,1,0,0
2163118960,1,0,38
1611051168,1,0,0
2163118960,1,0,0
1611051168,1,0,0
2899905322,1,0,0
2163118960,1,0,1331
1611051168,1,0,0
2163118960,1,0,0
1611051168,1,0,126
2899905322,1,0,0
2899905322,1,0,38
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,51
2899905322,1,0,0
2899905322,1,0,226
1611051168,1,0,0
1611051168,1,0,1368
1611051168,1,0,157
2163118960,1,0,0
2163118960,1,0,317
2163118960,1,0,353
2163118960,1,0,85
2163118960,1,0,46
2163118960,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,46
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1316
2899905322,1,0,0
3419242626,1,0,0
520963841,1,0,126
2163118960,1,0,51
520963841,1,0,0
520963841,1,0,312
520963841,1,0,1280
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
1611051168,1,0,0
1611051168,1,0,0
1611051168,1,0,0
1611051168,1,0,0
1611051168,1,0,0
1611051168,1,0,0
1611051168,1,0,0
1611051168,1,0,0
2163118960,1,0,1368
2163118960,1,0,1178
1611051168,1,0,0
1611051168,1,0,0
2163118960,1,0,1368
2163118960,1,0,59
520963841,1,0,0
288029715,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2025912700,1,0,46
288029710,1,0,0
3419242626,1,0,0
288029715,1,0,0
3419242626,1,0,361
288029715,1,0,517
2163118960,1,0,1360
2163118960,1,0,1360
2163118960,1,0,616
2163118960,1,0,0
288029715,1,0,0
288029715,1,0,0
288029715,1,0,0
288029710,1,0,0
288029715,1,0,318
2163118960,1,0,0
2163118960,1,0,51
288029715,1,0,0
288029715,1,0,1336
2163118960,1,0,0
2163118960,1,0,534
288029715,1,0,0
2163118960,1,0,0
2163118960,1,0,45
3419242626,1,0,0
3736744416,1,0,46
2915189948,1,0,0
2163118960,1,0,0
2915189948,1,0,0
2915189948,1,0,176
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,313
2915189948,1,0,0
2915189948,1,0,0
2915189948,1,0,0
2899905322,1,0,93
2163118960,1,0,51
2163118960,1,0,69
2915189948,1,0,75
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,53
2899905322,1,0,50
2163118960,1,0,0
2163118960,1,0,38
2899905322,1,0,42
2899905322,1,0,156
2899905322,1,0,139
2899905322,1,0,0
2163118960,1,0,0
2899905322,1,0,38
2163118960,1,0,0
2163118960,1,0,263
2163118960,1,0,297
2163118960,1,0,46
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,0
2899905322,1,0,46
2163118960,1,0,0
2915189948,1,0,51
2163118960,1,0,0
2163118960,1,0,51
2915189948,1,0,0
2163118960,1,0,0
3091736455,1,0,0
2915189948,1,0,30
2899905322,1,0,46
2899905322,1,0,31
2899905322,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2163118960,1,0,0
2899905322,1,0,0
2163118960,1,0,30
2915189948,1,0,178
2163118960,1,0,108
2163118960,1,0,127
2915189948,1,0,0
2915189948,1,0,0
2163118960,1,0,0
1611052215,1,0,0
2163118960,1,0,0
1611052215,1,0,0
1611052215,1,0,214
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1360
2163118960,1,0,123
1611052215,1,0,0
1611052215,1,0,0
1611052215,1,0,0
1611052215,1,0,126
2163118960,1,0,51
1611052215,1,0,0
1611052215,1,0,458
1611052215,1,0,1367
2163118960,1,0,0
3394059051,1,0,0
2163118960,1,0,744
1611052215,1,0,0
3394059057,1,0,0
2915189948,1,0,33
2163118960,1,0,33
2915189948,1,0,0
3419246257,1,0,0
3091736455,1,0,0
3419250224,1,0,0
2163118960,1,0,0
3394059051,1,0,0
3394059051,1,0,199
2163118960,1,0,0
3091736455,1,0,0
3091736455,1,0,233
2163118960,1,0,0
3394059057,1,0,0
2163118960,1,0,0
2163118960,1,0,1288
2163118960,1,0,1288
2163118960,1,0,1288
2163118960,1,0,232
2163118960,1,0,684
3091736455,1,0,0
3091736455,1,0,0
3091736455,1,0,0
3091736455,1,0,126
2163118960,1,0,0
3419246257,1,0,0
3419246257,1,0,223
2163118960,1,0,0
3419250224,1,0,0
2163118960,1,0,51
3091736455,1,0,0
3091736455,1,0,881
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,1368
2163118960,1,0,66
3394059051,1,0,0
3394059051,1,0,0
2163118960,1,0,177
3091736455,1,0,0
3394059051,1,0,126
2163118960,1,0,0
2163118960,1,0,1380
2163118960,1,0,1380
2163118960,1,0,1380
2163118960,1,0,243
3419246257,1,0,0
3419246257,1,0,0
3419246257,1,0,0
3419246257,1,0,126
2163118960,1,0,0
2163118960,1,0,51
3394059051,1,0,0
3394059051,1,0,259
3736744416,1,0,46
2163118960,1,0,51
2163118960,1,0,69
3419246257,1,0,0
3419246257,1,0,0
3419246257,1,0,53
3419246257,1,0,50
3419246257,1,0,42
3419246257,1,0,344
3419246257,1,0,789
3419246257,1,0,38
3091736455,1,0,0
2163118960,1,0,0
3091736455,1,0,0
3091736455,1,0,212
2163118960,1,0,0
2163118960,1,0,378
3394059051,1,0,0
3394059051,1,0,306
2163118960,1,0,0
3091736455,1,0,0
2163118960,1,0,0
2163118960,1,0,1368
2163118960,1,0,0
2163118960,1,0,38
2163118960,1,0,0
2163118960,1,0,42
2163118960,1,0,120
3419246257,1,0,0
3419246257,1,0,0
3419246257,1,0,0
3091736455,1,0,0
2163118960,1,0,0
2163118960,1,0,305
2163118960,1,0,1368
2163118960,1,0,1368
3394059051,1,0,0
3091736455,1,0,0
3091736455,1,0,0
3394059051,1,0,259
2163118960,1,0,676
3091736455,1,0,0
3091736455,1,0,126
2163118960,1,0,51
3091736455,1,0,0
3091736455,1,0,779
3091736455,1,0,0
3091736455,1,0,0
2163118960,1,0,0
2163118960,1,0,378
3394059051,1,0,0
3394059051,1,0,306
2163118960,1,0,0
3091736455,1,0,0
2163118960,1,0,0
3091736455,1,0,209
3091736455,1,0,0
2163118960,1,0,514
3091736455,1,0,209
3091736455,1,0,0
2163118960,1,0,0
2163118960,1,0,145
3091736455,1,0,0
3091736455,1,0,51
3091736455,1,0,833
2163118960,1,0,0
2163118960,1,0,145
3091736455,1,0,0
